field,raw,count,auto_matched,score,canonical,review,evidence
Decisão,DESERÇÃO.,36,0,0.50,Julgar extinta a instância,0,rule
Decisão,NEGADA A REVISTA. NEGADO PROVIMENTO.,36,0,0.46,Negar provimento,1,rule:multi-part
Decisão,INDEFERIDO.,35,0,0.80,Indeferir,0,rule
Decisão,NEGADO,35,0,0.31,Negar provimento,0,rule
Decisão,PROVIDO PARCIAL,35,0,0.44,Conceder provimento parcialmente,0,rule
Decisão,VERIFICADA A OPOSIÇÃO DE JULGADOS,35,0,0.30,Sem informação,0,rule
Decisão,INDEFERIR A RECLAMAÇÃO,34,0,0.41,Indeferir,0,rule
Decisão,AUTORIZADA A REVISÃO.,33,0,0.27,Conceder provimento,0,rule
Decisão,JULGADA EXTINTA A RESPONSABILIDADE CRIMINAL.,33,0,0.51,Julgar extinta a instância,0,rule
Decisão,ORDENADA A BAIXA DO PROCESSO. MANDADA AMPLIAR A MATÉRIA DE FACTO.,31,0,0.30,Ordenar baixa dos autos,1,rule:multi-part
Decisão,ALTERADO O EFEITO DO RECURSO.,30,0,0.29,Sem informação,0,rule
Decisão,ANULADA A DECISÃO,30,0,0.35,Anular,0,rule
Decisão,DEFERIDA A RECLAMAÇÃO,30,0,0.38,Deferir,0,rule
Decisão,JULGADO O RECURSO PARCIALMENTE PROCEDENTE.,30,0,0.37,Conceder provimento parcialmente,0,rule
Decisão,DESATENDIDA A QUESTÃO PRÉVIA.,28,0,0.43,Sem informação,0,rule
Decisão,NEGADA A REVISÃO.,28,0,0.44,Negar provimento,0,rule
Decisão,PROVIDO O RECURSO,28,0,0.29,Conceder provimento,0,rule
Decisão,UNIFORMIZAÇÃO DE JURISPRUDÊNCIA,28,0,0.58,Fixar jurisprudência,0,rule
Decisão,Concedida a revista,27,0,0.47,Conceder provimento,0,rule
Decisão,PARCIALMENTE PROVIDO,27,0,0.30,Conceder provimento parcialmente,0,rule
Decisão,ANULADO O ACÓRDÃO,26,0,0.35,Anular,0,rule
Decisão,NEGADO PROVIMENTO AO RECURSO.,26,0,0.54,Negar provimento,0,rule
Decisão,NÃO CONHECIMENTO DO OBJECTO DO RECURSO.,26,0,0.32,Não conhecer,0,rule
Decisão,INCOMPETÊNCIA.,25,0,0.59,Declarar incompetência,0,rule
Decisão,NEGADO PROVIMENTO À REVISTA,25,0,0.56,Negar provimento,0,rule
Decisão,ADMITIDA A REVISTA EXCEPCIONAL,24,0,0.30,Admitir,0,rule
Decisão,CONCEDIDA PARCIALMENTE.,24,0,0.63,Conceder provimento parcialmente,0,rule
Decisão,PROCEDÊNCIA / DECRETAMENTO TOTAL,24,0,0.34,Conceder provimento,0,rule
Decisão,ATENDIDA A QUESTÃO PRÉVIA.,23,0,0.36,Sem informação,0,rule
Decisão,CONCEDIDO PROVIMENTO PARCIAL À REVISTA,23,0,0.71,Conceder provimento parcialmente,0,rule
Decisão,Concedida a Revista,23,0,0.47,Conceder provimento,0,rule
Decisão,RESOLVIDO,23,0,0.33,Sem informação,0,rule
Decisão,CONCEDIDA A REVISTA E ANULADO O ACÓRDÃO RECORRIDO,22,0,0.35,Anular,0,rule
Decisão,INDEFERIDA A PETIÇÃO,22,0,0.40,Indeferir,0,rule
Decisão,JULGAMENTO ANULADO.,22,0,0.46,Anular,0,rule
Decisão,NÃO ADMITIDA A REVISTA EXCEPCIONAL,22,0,0.32,Não admitir,0,rule
Decisão,NÃO ADMITIDO O RECURSO,22,0,0.50,Não admitir,0,rule
Decisão,NEGADA A REVISTA. DECIDIDO NÃO TOMAR CONHECIMENTO.,21,0,0.29,Negar provimento,1,rule:multi-part
Decisão,NEGADO PROVIMENTO. DECIDIDO NÃO TOMAR CONHECIMENTO.,21,0,0.36,Negar provimento,1,rule:multi-part
Decisão,PROCEDENTE,21,0,0.38,Conceder provimento,0,rule
Decisão,PROCEDÊNCIA / DECRETAMENTO TOTAL.,21,0,0.34,Conceder provimento,0,rule
Decisão,REVISTA PARCIALMENTE PROCEDENTE,21,0,0.39,Conceder provimento parcialmente,0,rule
Decisão,INDEFERIDO O PEDIDO DE HABEAS CORPUS.,20,0,0.28,Indeferir,0,rule
Decisão,REJEITADO RECURSO,20,0,0.47,Rejeitar,0,rule
Decisão,ATENDIDA A RECLAMAÇÃO.,19,0,0.38,Deferir,0,rule
Decisão,DESISTÊNCIA.,19,0,0.43,Julgar extinta a instância,0,rule
Decisão,MANDADA AMPLIAR A MATERIA DE FACTO. ORDENADA A BAIXA DO PROCESSO.,19,0,0.25,Ordenar baixa dos autos,1,rule:multi-part
Decisão,VERIFICADA A OPOSIÇÃO.,19,0,0.36,Sem informação,0,rule
Decisão,ACLARAÇÃO INDEFERIDA.,18,0,0.41,Indeferir,0,rule
Decisão,INDEFERIDA A PROVIDÊNCIA DE HABEAS CORPUS,18,0,0.32,Indeferir,0,rule
Decisão,NEGADAS,18,0,0.29,Negar provimento,0,rule
Decisão,INDEFERIDO O PEDIDO,17,0,0.42,Indeferir,0,rule
Decisão,NEGA-SE A REVISTA,17,0,0.41,Negar provimento,0,rule
Decisão,NEGADA  A REVISTA,17,0,0.44,Negar provimento,0,rule
Decisão,ALTERADO O REGIME DE SUBIDA DO RECURSO.,16,0,0.26,Sem informação,0,rule
Decisão,DEFERIDA,16,0,0.75,Deferir,0,rule
Decisão,IMPROCEDÊNCIA,16,0,0.40,Negar provimento,0,rule
